PILLAR / INDICATOR,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Overall Score,28.4616,37.4469,32.3280,41.9723,0.0000,40.3149,42.8922,39.4043,31.6744,39.9495
Economic Dynamism,4.2850,9.7278,8.8916,6.5749,0.0000,5.5954,6.9941,6.4485,5.3617,4.8302
Government Efficiency,18.6664,20.2380,13.7256,11.4780,0.0000,11.1018,11.4856,11.3248,7.6957,10.7969
Infrastructure,5.5102,7.4811,9.7108,7.5467,0.0000,6.2759,6.4792,6.4889,2.9737,3.5116
Resiliency,-,-,-,16.3728,0.0000,17.3417,17.9333,15.1421,12.5901,13.8260
Innovation,-,-,-,-,-,-,-,-,3.0532,6.9848
Local Economy Size,1.0116,0.5716,0.6586,0.0795,0.1059,0.0208,0.0340,0.1212,0.0542,0.0767
Local Economy Growth,0.3136,0.2748,0.0801,0.0041,0.0104,0.0019,0.3302,0.0027,0.0000,0.0007
Active Establishments in the Locality,-,-,-,1.2412,0.8184,0.4813,0.6211,0.6483,0.5912,0.5529
Safety Compliant Business,-,-,-,0.2746,0.3243,0.3369,0.4668,0.3851,0.0000,0.2791
Employment Generation,0.6837,0.2850,0.0597,0.2568,0.3018,0.3986,0.3767,0.2409,0.1800,0.1290
Cost of Living,0.0000,3.4399,3.0000,1.6554,1.8981,1.5873,1.5517,1.6250,1.9139,1.3435
Cost of Doing Business,0.3922,2.9970,3.6309,1.9944,2.1508,2.1193,2.2727,2.3457,1.8510,1.6184
Financial Deepening,1.7924,1.8877,1.2455,0.8460,0.2172,0.5266,0.7865,0.5874,0.5553,0.6046
Productivity,0.0592,0.0036,0.0503,0.0252,0.0053,0.0057,0.3282,0.2665,0.1396,0.1454
Presence of Business and Professional Organizations,0.0323,0.2682,0.1667,0.1978,0.1662,0.1170,0.2263,0.2258,0.0765,0.0799
Compliance to National Directives,3.3333,3.3333,3.3041,2.3397,0.0000,2.2500,2.5000,2.4405,1.9286,1.9565
Presence of Investment Promotion Unit,3.3333,3.3333,3.3333,1.8750,0.0000,2.5000,2.5000,2.5000,1.3334,1.9744
Compliance to ARTA Citizens Charter,-,3.0654,2.2774,2.3260,0.0000,2.4522,2.4793,1.8465,2.0000,2.0000
Capacity to Generate Local Resource,0.6256,0.8808,1.7813,0.6309,0.0000,0.2078,0.2783,0.0382,0.0167,0.0697
Capacity of Health Services,0.8427,0.9868,0.9805,0.5945,0.0000,0.5536,0.5167,0.8089,0.0092,0.6758
Capacity of School Services,0.0000,0.7498,0.5630,0.2444,0.0000,0.4215,0.2349,0.1680,0.0030,0.1347
Recognition of Performance,0.0000,1.1905,0.2886,0.2444,0.0000,0.4455,0.1739,0.5092,0.4047,0.3583
Getting Business Permits,-,-,1.1111,2.1784,0.0000,1.6633,2.4965,2.4993,2.0000,2.0000
Peace and Order,0.7245,0.0936,0.0862,0.4638,0.0000,0.0275,0.0180,0.0685,0.0001,0.5143
Social Protection,-,-,0.0000,0.5807,0.0000,0.5803,0.2880,0.4457,0.0000,1.1132
Road Network,0.0000,0.0027,0.0037,0.0027,0.0000,0.0081,0.0002,0.0118,0.0013,0.0014
Distance to Ports,2.2083,3.0735,3.0237,2.3351,0.0000,2.4156,2.4772,2.2368,1.7681,1.8480
Availability of Basic Utilities,1.4242,1.6667,3.3333,2.5000,0.0000,2.0755,2.2115,2.3782,0.0035,0.5360
Transportation Vehicles,0.0000,0.2235,0.3990,0.2289,0.0000,0.0379,0.2732,0.0627,0.0572,0.1610
Education,0.2083,0.5332,0.1577,0.1816,0.0000,0.1250,0.0947,0.2699,0.2411,0.1644
Health,0.5854,0.5997,0.7438,0.4366,0.0000,0.4284,0.5837,0.6873,0.5333,0.4439
LGU Investment,0.7639,0.5285,1.0262,0.9635,0.0000,0.4039,0.2062,0.0335,0.0012,0.0023
Accommodation Capacity,0.0986,0.0000,0.0000,0.0056,0.0000,0.0083,0.0291,0.0515,0.1337,0.0235
Information Technology Capacity,0.0000,0.4776,0.6039,0.5351,0.0000,0.3729,0.2579,0.3636,0.0705,0.1410
Financial Technology Capacity,0.2214,0.3757,0.4197,0.3576,0.0000,0.4004,0.3456,0.3936,0.1638,0.1901
