PILLAR / INDICATOR,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Overall Score,30.5486,36.8220,32.5932,40.9323,40.0014,36.2769,39.7142,35.1797,34.3550,36.1419
Economic Dynamism,8.6477,7.8994,9.1956,5.0128,4.6011,3.8475,5.6260,4.6339,3.7630,3.1570
Government Efficiency,15.4803,18.3612,13.2543,11.2336,10.2461,8.8870,10.2622,9.5130,9.5677,9.6152
Infrastructure,6.4206,10.5614,10.1433,7.6118,8.1250,6.7600,6.8031,7.3873,4.6501,4.2090
Resiliency,-,-,-,17.0742,17.0292,16.7824,17.0229,13.6454,11.5582,11.6829
Innovation,-,-,-,-,-,-,-,-,4.8160,7.4778
Local Economy Size,0.0687,0.2259,0.2191,0.0140,0.0233,0.0183,0.0257,0.0241,0.0314,0.0222
Local Economy Growth,1.2539,0.3374,0.2889,0.0499,0.1080,0.0567,0.6422,0.0351,0.0258,0.0109
Active Establishments in the Locality,-,-,-,0.2937,0.4180,0.2687,0.1965,0.2704,0.2555,0.2921
Safety Compliant Business,-,-,-,0.1385,0.1876,0.2178,0.2584,0.2021,0.1741,0.1838
Employment Generation,0.0482,0.1838,0.3991,0.0760,0.0320,0.1090,0.1145,0.1093,0.0138,0.0378
Cost of Living,3.6538,2.6268,3.0833,1.5517,1.9898,0.5159,1.8310,1.3312,1.1026,0.7478
Cost of Doing Business,3.3117,3.6515,3.7270,2.2062,1.7235,2.1372,1.9375,2.1547,1.5280,1.2486
Financial Deepening,0.2049,0.5376,1.1995,0.6667,0.0000,0.4244,0.4818,0.3603,0.4323,0.4150
Productivity,0.0914,0.2313,0.1767,0.0126,0.1105,0.0839,0.1000,0.0988,0.0224,0.0139
Presence of Business and Professional Organizations,0.0151,0.1049,0.1019,0.0034,0.0084,0.0155,0.0383,0.0480,0.1771,0.1849
Compliance to National Directives,2.3333,3.3333,3.1373,2.2222,2.4306,2.4306,2.4219,2.3529,1.9286,1.9643
Presence of Investment Promotion Unit,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.8413,1.9683
Compliance to ARTA Citizens Charter,-,2.3613,1.6624,1.3789,1.5706,1.4583,2.3030,2.1677,2.0000,2.0000
Capacity to Generate Local Resource,0.1268,1.1252,0.2412,0.7780,0.0000,0.0576,0.0688,0.0683,0.0595,0.1631
Capacity of Health Services,0.1488,0.2753,0.2566,0.1554,0.3506,0.1463,0.1221,0.1018,0.1719,0.1954
Capacity of School Services,0.7129,0.6307,0.4039,0.6560,0.3846,0.2144,0.2454,0.1153,0.2185,0.2392
Recognition of Performance,0.1111,0.7442,0.2844,0.6560,0.5357,0.1871,0.2305,0.1339,0.4723,0.5184
Getting Business Permits,-,-,2.9683,2.0891,2.1764,1.4629,2.1311,1.7649,2.0000,2.0000
Peace and Order,0.2884,0.3378,0.8448,0.3500,0.1062,0.0346,0.0699,0.0070,0.0002,0.1361
Social Protection,-,-,0.1223,0.4478,0.1914,0.3953,0.1695,0.3012,0.8754,0.4304
Road Network,0.1959,0.0018,0.5089,0.0339,1.1781,0.1319,0.0869,0.0639,0.0057,0.0013
Distance to Ports,1.9916,2.6908,2.7113,1.8784,1.6908,2.2738,2.2958,2.3150,1.4336,1.4712
Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,2.4813,2.3342,2.3030,2.2995,1.4289,1.3986
Transportation Vehicles,0.2614,0.3504,0.2349,0.2547,0.2265,0.3176,0.2970,0.3179,0.1368,0.1130
Education,0.1979,0.5932,0.4025,0.7354,0.3734,0.3451,0.1924,0.1749,0.1757,0.2441
Health,0.0541,0.2294,0.1545,0.4994,0.7138,0.2704,0.2486,0.3786,0.2585,0.1207
LGU Investment,0.0617,2.2383,1.8932,0.8315,0.4060,0.2307,0.1916,0.0349,0.0010,0.2233
Accommodation Capacity,0.0189,0.1714,0.1776,0.2848,0.3074,0.2218,0.4508,0.2819,0.1825,0.3074
Information Technology Capacity,0.2646,0.5941,0.3409,0.3532,0.5086,0.3498,0.4581,1.3542,0.9424,0.2406
Financial Technology Capacity,0.0410,0.3586,0.3862,0.2405,0.2392,0.2848,0.2788,0.1666,0.0850,0.0888
