PILLAR / INDICATOR,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Overall Score,33.2327,37.2436,31.5056,36.8613,41.1089,33.9106,38.1413,33.4923,33.9330,37.8851
Economic Dynamism,7.1625,7.9379,8.0972,3.2496,3.8886,3.4359,5.1768,4.4474,3.7200,3.1942
Government Efficiency,16.2813,19.8804,13.6852,10.8284,11.1121,9.0293,10.4409,9.1539,8.9211,9.7282
Infrastructure,9.7889,9.4253,9.7232,6.7115,9.1530,5.7979,5.6333,6.2123,4.1283,4.0269
Resiliency,-,-,-,16.0718,16.9552,15.6474,16.8903,13.6787,11.6199,11.6483
Innovation,-,-,-,-,-,-,-,-,5.5437,9.2875
Local Economy Size,0.0669,0.1691,0.1575,0.0105,0.0135,0.0123,0.0139,0.0168,0.0228,0.0175
Local Economy Growth,1.2689,0.3231,0.2528,0.0686,0.0775,0.0893,0.6039,0.0425,0.0147,0.0124
Active Establishments in the Locality,-,-,-,0.3056,0.3310,0.2981,0.1861,0.3415,0.3081,0.3142
Safety Compliant Business,-,-,-,0.2378,0.2010,0.2503,0.2810,0.2568,0.1717,0.5926
Employment Generation,0.0267,0.1121,0.2105,0.0438,0.0286,0.0916,0.0787,0.0999,0.0224,0.0240
Cost of Living,2.5000,2.9891,2.9167,0.0000,1.4796,0.3571,1.6549,1.1039,1.3590,0.6783
Cost of Doing Business,2.9520,3.7600,3.6541,2.0956,1.2803,2.0379,2.0104,2.2027,1.4984,1.3115
Financial Deepening,0.1366,0.3059,0.6494,0.4333,0.3648,0.2101,0.2568,0.2723,0.2532,0.1999
Productivity,0.1057,0.2036,0.1672,0.0116,0.0768,0.0602,0.0662,0.0742,0.0147,0.0120
Presence of Business and Professional Organizations,0.1057,0.0749,0.0892,0.0427,0.0355,0.0291,0.0248,0.0368,0.0550,0.0318
Compliance to National Directives,2.6667,3.3333,3.1373,2.2222,2.1528,2.2222,2.1875,2.5000,1.9286,1.9643
Presence of Investment Promotion Unit,1.6667,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.7778,1.7461
Compliance to ARTA Citizens Charter,-,2.5372,1.5548,1.2488,2.1655,1.8114,2.4988,1.2500,2.0000,2.0000
Capacity to Generate Local Resource,0.0829,1.9738,0.2044,0.7467,0.1527,0.0439,0.0768,0.0534,0.0507,0.1725
Capacity of Health Services,0.4289,0.3951,0.6030,0.3839,1.1514,0.3725,0.3134,0.3229,0.8557,0.9619
Capacity of School Services,0.8045,0.7182,0.2291,0.3105,0.3572,0.0838,0.1086,0.1116,0.2224,0.2727
Recognition of Performance,0.3889,0.5271,0.2778,0.3105,0.1970,0.1413,0.1967,0.0618,0.0856,0.0208
Getting Business Permits,-,-,3.2117,2.4090,1.5042,1.5814,2.3814,2.1515,2.0000,2.0000
Peace and Order,0.6376,0.3957,1.0554,0.4907,0.1794,0.0311,0.0632,0.0039,0.0003,0.1571
Social Protection,-,-,0.0785,0.2060,0.7519,0.2416,0.1147,0.1988,0.0000,0.4328
Road Network,0.8048,0.0039,1.0675,0.0214,0.7508,0.1697,0.1335,0.0629,0.0085,0.0020
Distance to Ports,3.1393,3.1611,3.1758,2.3426,2.3352,2.3279,2.3424,2.3546,1.9094,1.8658
Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,2.5000,2.0344,1.9022,2.0330,1.5710,1.1492
Transportation Vehicles,0.2286,0.3246,0.1926,0.1631,0.1605,0.0977,0.0504,0.0526,0.0606,0.0680
Education,0.1278,0.3399,0.2063,0.1227,0.1605,0.2437,0.1320,0.1402,0.1525,0.2063
Health,0.0630,0.3385,0.2094,0.2855,1.0012,0.1414,0.2112,0.4159,0.2828,0.2518
LGU Investment,0.7377,1.0974,1.1095,0.8006,1.1163,0.3212,0.1787,0.1208,0.0015,0.3413
Accommodation Capacity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0171,0.0165,0.0360,0.0276
Information Technology Capacity,1.3001,0.6404,0.2399,0.3532,0.9836,0.3374,0.5216,0.9375,0.0652,0.0702
Financial Technology Capacity,0.0543,0.1862,0.1889,0.1225,0.1449,0.1245,0.1442,0.0782,0.0408,0.0447
