PILLAR / INDICATOR,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Overall Score,33.4511,38.4989,32.2929,40.4903,41.5901,38.5334,39.3650,35.7769,36.3643,37.3690
Economic Dynamism,8.6117,10.1847,9.8313,5.2774,6.2636,6.2865,6.7206,5.9955,4.2960,3.3179
Government Efficiency,17.9359,20.2229,14.0667,11.9147,11.3245,9.6134,10.2639,9.8423,9.0976,9.9063
Infrastructure,6.9035,8.0912,8.3949,7.1393,7.8865,5.6947,5.3237,5.6469,4.0052,4.5942
Resiliency,-,-,-,16.1589,16.1155,16.9388,17.0567,14.2922,12.9856,11.7501
Innovation,-,-,-,-,-,-,-,-,5.9799,7.8005
Local Economy Size,0.0817,0.3502,0.3968,0.0153,0.0296,0.0219,0.0281,0.0248,0.0374,0.0222
Local Economy Growth,1.1856,0.3029,0.3872,0.0459,0.1771,0.0510,0.6124,0.0325,0.0371,0.0110
Active Establishments in the Locality,-,-,-,0.0000,0.7121,0.5703,0.4450,0.5782,0.4498,0.5850
Safety Compliant Business,-,-,-,0.4484,0.3679,0.4767,0.6143,0.5772,0.3662,0.4473
Employment Generation,0.0097,0.0489,0.6007,0.1350,0.0967,0.3649,0.3092,0.3073,0.0619,0.0767
Cost of Living,2.5000,2.5815,3.1667,1.8534,1.7347,1.9841,2.0775,1.5909,1.2949,0.4348
Cost of Doing Business,3.6111,3.6920,3.7775,2.1838,2.1600,2.2084,1.9922,2.1600,1.5462,1.2978
Financial Deepening,0.1878,0.4496,0.9470,0.5667,0.9121,0.3131,0.3882,0.3557,0.2720,0.2344
Productivity,0.7941,2.5200,0.1860,0.0092,0.0492,0.2585,0.2216,0.2045,0.0233,0.0230
Presence of Business and Professional Organizations,0.2415,0.2398,0.3695,0.0197,0.0242,0.0376,0.0321,0.1644,0.2072,0.1857
Compliance to National Directives,3.3333,3.3333,2.9412,2.1528,2.0833,2.4306,2.4219,2.5000,1.9286,1.9286
Presence of Investment Promotion Unit,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.8731,1.8413
Compliance to ARTA Citizens Charter,-,2.9487,2.5210,2.3088,2.3132,2.3421,2.3987,1.7141,2.0000,2.0000
Capacity to Generate Local Resource,0.1436,1.6526,0.1824,0.8374,0.1675,0.0379,0.0806,0.0402,0.2927,0.2547
Capacity of Health Services,0.2469,0.4045,0.3560,0.2230,0.5942,0.1691,0.1438,0.1841,0.5788,0.6957
Capacity of School Services,0.6237,1.1001,0.4200,0.3797,0.7379,0.0711,0.1104,0.0851,0.2030,0.2312
Recognition of Performance,0.0000,0.2713,0.0463,0.3797,0.5697,0.2868,0.2629,0.1825,0.2200,0.3006
Getting Business Permits,-,-,2.9809,2.3198,1.4112,1.4681,2.1441,2.3980,2.0000,2.0000
Peace and Order,0.6245,0.5123,1.2034,0.5074,0.1700,0.0415,0.0799,0.0163,0.0002,0.1466
Social Protection,-,-,0.0823,0.3062,0.7774,0.2661,0.1216,0.2221,0.0012,0.5076
Road Network,0.2371,0.0022,0.6061,0.0124,0.9625,0.0672,0.0580,0.0300,0.0067,0.0018
Distance to Ports,1.8502,2.6493,2.7365,1.9145,1.8014,2.0729,1.7848,1.8046,1.7707,1.4835
Availability of Basic Utilities,3.3333,3.3333,3.3333,2.4107,2.4967,2.0687,1.9124,1.9284,1.2047,1.3182
Transportation Vehicles,0.1597,0.4036,0.2643,0.2654,0.2638,0.1662,0.1095,0.0968,0.1550,0.1972
Education,0.1085,0.1524,0.1905,0.1089,0.1818,0.2755,0.1236,0.2560,0.2147,0.2784
Health,0.0503,0.2766,0.1723,0.3864,0.8135,0.2864,0.3317,0.3025,0.2823,0.2869
LGU Investment,0.5370,0.5099,0.5814,1.4185,0.4467,0.1918,0.1677,0.0365,0.0233,0.6721
Accommodation Capacity,0.0000,0.0000,0.0000,0.0651,0.0610,0.0111,0.1345,0.1046,0.0992,0.1001
Information Technology Capacity,0.5781,0.4784,0.2399,0.3735,0.6433,0.3374,0.4459,0.9375,0.1704,0.1805
Financial Technology Capacity,0.0493,0.2856,0.2705,0.1839,0.2157,0.2176,0.2557,0.1500,0.0782,0.0755
