PILLAR / INDICATOR,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Overall Score,37.9913,42.8639,40.9701,45.1122,45.4063,42.8152,45.1553,40.1135,42.2916,44.0763
Economic Dynamism,10.9767,10.7195,12.8169,6.7572,7.0771,7.4494,8.5668,7.2228,5.4062,5.4531
Government Efficiency,18.0151,20.2675,16.2765,12.5139,12.2742,10.6234,11.4841,11.7051,10.9965,11.7010
Infrastructure,8.9995,11.8769,11.8767,9.2283,9.1136,7.5459,7.3578,6.6448,4.7407,5.3217
Resiliency,-,-,-,16.6128,16.9414,17.1965,17.7465,14.5408,13.3145,13.2116
Innovation,-,-,-,-,-,-,-,-,7.8337,8.3889
Local Economy Size,0.9681,0.8314,0.8284,0.0559,0.0948,0.0782,0.0778,0.0854,0.1583,0.0960
Local Economy Growth,1.4085,0.2096,0.2903,0.0515,0.1130,0.0750,0.5743,0.0389,0.0308,0.0116
Active Establishments in the Locality,-,-,-,0.7109,1.6539,1.0725,0.7017,1.0161,0.8122,0.9395
Safety Compliant Business,-,-,-,0.7867,0.6638,0.8539,0.8649,0.6445,0.4845,0.5054
Employment Generation,0.3440,1.3766,2.7240,0.4535,0.2736,0.5705,0.9375,0.5958,0.1831,0.2316
Cost of Living,3.9744,3.2156,3.0000,1.4224,2.0918,1.5873,2.3592,1.5909,1.4103,1.3739
Cost of Doing Business,3.4827,3.5575,3.7273,2.0252,2.0957,2.0365,1.8207,2.1114,1.4765,1.3696
Financial Deepening,0.3415,0.7277,1.4791,1.2133,0.0000,0.6826,0.6814,0.6617,0.5364,0.6237
Productivity,0.0649,0.1567,0.1435,0.0114,0.0658,0.4606,0.4757,0.3713,0.1327,0.0714
Presence of Business and Professional Organizations,0.3925,0.6445,0.6244,0.0265,0.0248,0.0322,0.0735,0.1069,0.1814,0.2304
Compliance to National Directives,3.3333,3.3333,2.9412,2.0139,2.2917,2.3611,2.5000,2.5000,1.9286,1.9643
Presence of Investment Promotion Unit,2.5000,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.8731,1.8413
Compliance to ARTA Citizens Charter,-,2.6707,2.4314,1.7293,1.8701,1.7286,2.3871,2.2771,2.0000,2.0000
Capacity to Generate Local Resource,0.3100,1.3412,0.5846,1.0705,0.2988,0.1216,0.1499,0.1636,0.1332,0.2320
Capacity of Health Services,0.4747,1.1477,1.2142,0.7990,1.1135,0.8024,0.6587,0.6862,1.1979,1.1406
Capacity of School Services,0.7926,0.9672,0.3162,0.3842,0.3844,0.2892,0.4001,0.6153,0.8464,0.4827
Recognition of Performance,0.6825,0.3101,0.8862,0.3842,0.3571,0.6403,0.3381,0.3406,0.3076,0.3109
Getting Business Permits,-,-,3.0982,2.3198,1.4170,1.4698,2.1383,2.0855,2.0000,2.0000
Peace and Order,0.7200,0.6106,1.2683,0.6142,0.1653,0.1073,0.1215,0.0279,0.0002,1.2670
Social Protection,-,-,0.2030,0.6987,1.8763,0.6032,0.2904,0.5088,0.7095,0.4622
Road Network,0.2734,0.0025,0.6942,0.0141,0.4863,0.0689,0.0689,0.0298,0.0062,0.0019
Distance to Ports,3.3042,3.3073,3.3127,2.4776,2.4760,2.4690,2.4708,1.7207,1.3676,1.7556
Availability of Basic Utilities,3.2253,3.3333,3.3333,2.5000,2.4880,1.9749,1.8878,1.8750,1.5096,1.2382
Transportation Vehicles,0.1923,0.2530,0.1785,0.1605,0.1629,0.1649,0.1383,0.0718,0.0712,0.0758
Education,0.2403,0.6377,0.4952,0.5194,0.4466,0.6658,0.4101,0.5629,0.5013,0.4010
Health,0.1526,1.7751,1.5466,1.6223,1.4350,0.7572,0.7273,0.6806,0.5007,0.6382
LGU Investment,1.0648,0.7786,0.6482,0.5882,0.1062,0.2453,0.2482,0.0785,0.0004,0.2901
Accommodation Capacity,0.0369,0.0972,0.1682,0.2093,0.1888,0.0193,0.1339,0.0717,0.2543,0.2936
Information Technology Capacity,0.1922,0.5787,0.3634,0.3735,0.5711,0.3498,0.4581,0.9375,0.2607,0.3609
Financial Technology Capacity,0.3173,1.1135,1.1365,0.7632,0.7527,0.8308,0.8144,0.6163,0.2687,0.2664
