PILLAR / INDICATOR,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Overall Score,-,25.5956,20.1325,38.7126,42.2676,39.3396,39.4846,35.3829,36.3571,31.5140
Economic Dynamism,-,4.7103,5.4182,4.5709,4.0996,4.1431,5.6555,4.7726,3.5609,2.9731
Government Efficiency,-,12.9798,6.3026,10.2474,12.5692,10.8909,10.4318,10.6495,10.0607,8.7597
Infrastructure,-,7.9054,8.4117,7.9431,8.7241,7.2104,6.2161,6.2936,4.1863,4.5430
Resiliency,-,-,-,15.9513,16.8747,17.0952,17.1812,13.6673,12.0104,11.7153
Innovation,-,-,-,-,-,-,-,-,6.5388,3.5229
Local Economy Size,-,0.0000,0.0000,0.0087,0.0137,0.0207,0.0142,0.0174,0.0199,0.0126
Local Economy Growth,-,0.0000,0.0000,0.0000,0.0974,0.2510,0.6176,0.0428,0.0118,0.0130
Active Establishments in the Locality,-,-,-,0.0000,0.1458,0.2480,0.1542,0.2974,0.2540,0.2983
Safety Compliant Business,-,-,-,0.0923,0.0932,0.2741,0.2231,0.1341,0.1082,0.1017
Employment Generation,-,0.0000,0.0000,0.0032,0.0320,0.2586,0.1627,0.1919,0.0328,0.0367
Cost of Living,-,2.6268,3.0833,1.5517,1.9898,0.5159,1.8310,1.3312,1.1026,0.7478
Cost of Doing Business,-,1.9398,1.8749,2.3255,1.5810,2.2505,2.0960,2.2046,1.6667,1.3499
Financial Deepening,-,0.1437,0.4600,0.5200,0.0000,0.3053,0.4459,0.3368,0.2911,0.2957
Productivity,-,0.0000,0.0000,0.0694,0.0787,0.0191,0.1107,0.1247,0.0162,0.0134
Presence of Business and Professional Organizations,-,0.0000,0.0000,0.0000,0.0681,0.0000,0.0000,0.0917,0.0576,0.1040
Compliance to National Directives,-,2.9167,3.2026,2.2917,2.2222,2.4306,2.4219,2.5000,1.9286,1.9643
Presence of Investment Promotion Unit,-,3.3333,1.6667,1.2500,2.5000,2.5000,2.5000,2.5000,1.9683,1.9683
Compliance to ARTA Citizens Charter,-,0.0000,0.0000,1.9720,2.3899,2.3276,2.4009,2.0386,2.0000,2.0000
Capacity to Generate Local Resource,-,0.4039,0.0000,0.7897,0.1413,0.0486,0.0774,0.0526,0.0597,0.2010
Capacity of Health Services,-,0.0000,0.0000,0.2458,0.4538,0.4516,0.3660,0.4739,0.4484,0.3899
Capacity of School Services,-,0.3970,0.3860,0.2756,0.3333,0.3402,0.4837,0.2881,0.2039,0.2046
Recognition of Performance,-,0.0000,0.2844,0.2756,0.6094,0.4096,0.4084,0.0189,0.5170,0.5512
Getting Business Permits,-,-,0.0000,2.0549,2.3578,1.4646,1.3108,2.0884,2.0000,1.0000
Peace and Order,-,0.2489,0.5366,0.2357,0.0818,0.1367,0.1315,0.0473,0.0001,0.0524
Social Protection,-,-,0.2263,0.8565,1.4796,0.7814,0.3313,0.6416,0.9347,0.4280
Road Network,-,0.0022,0.5099,0.0105,0.0260,0.0954,0.0473,0.0533,0.0043,0.0015
Distance to Ports,-,2.7334,2.7830,1.9557,1.7878,2.2600,2.2788,1.8337,1.5492,1.5956
Availability of Basic Utilities,-,3.3333,3.3333,2.5000,2.5000,2.4154,1.9549,1.9563,1.2033,1.2110
Transportation Vehicles,-,0.5013,0.3277,0.7806,0.5057,0.0569,0.0850,0.0820,0.0937,0.0893
Education,-,1.1281,0.8117,0.7533,0.9659,0.7700,0.4176,0.3243,0.3414,0.3672
Health,-,0.0000,0.0080,0.8575,0.5814,0.5483,0.3301,0.4274,0.3646,0.3032
LGU Investment,-,0.0000,0.0000,0.3369,0.5164,0.3088,0.2664,0.0667,0.0022,0.3921
Accommodation Capacity,-,0.0000,0.0000,0.0000,0.2328,0.0246,0.0873,0.0382,0.3373,0.2619
Information Technology Capacity,-,0.0000,0.4167,0.5813,1.4478,0.5373,0.5414,1.3542,0.2155,0.2256
Financial Technology Capacity,-,0.2071,0.2213,0.1673,0.1601,0.1938,0.2073,0.1576,0.0748,0.0956
