PILLAR / INDICATOR,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Overall Score,29.3688,38.4684,34.3424,40.7532,42.0531,38.2580,40.3833,36.6260,35.0535,36.3827
Economic Dynamism,6.6484,8.7399,10.7257,5.5974,6.4670,4.2632,6.6507,6.0609,4.7372,3.6487
Government Efficiency,13.9492,19.1291,14.0492,11.5941,11.6289,10.2123,9.9185,10.0706,9.5413,9.7159
Infrastructure,8.7713,10.5994,9.5675,7.0573,7.0396,6.9543,6.6649,6.9224,4.3845,4.2321
Resiliency,-,-,-,16.5045,16.9176,16.8281,17.1492,13.5721,11.7326,11.5921
Innovation,-,-,-,-,-,-,-,-,4.6579,7.1939
Local Economy Size,0.0782,0.5387,0.5529,0.0674,0.0453,0.0662,0.0621,0.0754,0.0648,0.0316
Local Economy Growth,0.9486,0.3200,0.6367,0.0818,0.0257,0.1242,0.7733,0.0412,0.0101,0.0128
Active Establishments in the Locality,-,-,-,0.0000,1.0442,0.5568,0.4754,0.8795,0.6223,0.6113
Safety Compliant Business,-,-,-,0.5517,0.3312,0.2721,0.5624,0.6327,0.6037,0.3339
Employment Generation,0.0000,0.3976,0.9380,0.2443,0.0532,0.1860,0.1921,0.2011,0.0633,0.1013
Cost of Living,2.9487,2.6268,3.0833,1.5517,1.9898,0.5159,1.8310,1.3312,1.1026,0.7478
Cost of Doing Business,2.4531,3.4220,3.7414,2.1298,2.0746,1.9154,1.9299,2.1284,1.5331,1.0943
Financial Deepening,0.2199,0.4959,1.2356,0.9400,0.6551,0.5108,0.6531,0.5349,0.5693,0.5606
Productivity,0.0000,0.3543,0.2702,0.0164,0.2331,0.1051,0.1463,0.1602,0.0579,0.0433
Presence of Business and Professional Organizations,0.0000,0.5845,0.2676,0.0142,0.0146,0.0108,0.0252,0.0763,0.1101,0.1118
Compliance to National Directives,3.3333,3.3333,3.0719,2.1528,2.0833,2.4306,2.4219,2.5000,1.9286,1.9643
Presence of Investment Promotion Unit,0.0000,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.9683,1.9683
Compliance to ARTA Citizens Charter,-,3.1086,2.4571,2.2509,2.1904,2.2698,2.3264,1.8965,2.0000,2.0000
Capacity to Generate Local Resource,0.2357,0.5666,0.2422,0.4474,1.6727,0.1310,0.1145,0.1002,0.1104,0.2621
Capacity of Health Services,0.1147,0.1755,0.1509,0.0962,0.1647,0.1085,0.0877,0.0807,0.1925,0.2849
Capacity of School Services,0.7798,1.1876,0.4403,0.4347,0.3906,0.2886,0.3817,0.2955,0.2053,0.5321
Recognition of Performance,0.3492,0.5271,0.0463,0.4347,0.3430,0.2992,0.1884,0.0996,0.1489,0.1480
Getting Business Permits,-,-,3.2146,2.4320,1.4956,1.5762,1.5278,2.1056,2.0000,2.0000
Peace and Order,0.4721,0.3438,0.9154,0.2380,0.0792,0.0709,0.1099,0.0357,0.0001,0.0838
Social Protection,-,-,0.1771,0.6074,0.7094,0.5376,0.2602,0.4568,0.9872,0.4724
Road Network,0.2617,0.0023,0.6673,0.0098,0.2708,0.0632,0.0144,0.0378,0.0029,0.0019
Distance to Ports,2.7783,2.6008,2.6783,1.8547,1.8173,2.1568,2.1838,1.7742,1.6280,1.5613
Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,2.4896,2.1563,2.0551,2.1408,1.2706,1.2746
Transportation Vehicles,0.2472,1.3201,0.4831,0.5006,0.2369,0.1707,0.1027,0.0933,0.1084,0.1265
Education,0.3821,1.2660,0.7460,0.6578,0.5799,0.8350,0.6412,0.7379,0.6329,0.3678
Health,0.0848,0.3946,0.1871,0.2763,0.2492,0.3163,0.1558,0.2748,0.1956,0.1410
LGU Investment,1.1389,0.5013,0.3017,0.2684,0.2707,0.2619,0.3072,0.0343,0.0088,0.2409
Accommodation Capacity,0.0139,0.0000,0.0000,0.0201,0.0428,0.0000,0.0532,0.0369,0.0892,0.0659
Information Technology Capacity,0.3790,0.4398,0.4644,0.4771,0.8325,0.4331,0.5339,1.3542,0.2406,0.2506
Financial Technology Capacity,0.1520,0.7411,0.7064,0.4924,0.2500,0.5610,0.6176,0.4383,0.2075,0.2016
